Site,SA,SA_binary,date,year,Julian_day,shrub_biomass,drainage_class,canopy_cover,basal_area
EO_83,EO,0,2018-07-28,2018,209,74.87,upland,95.7,39.7
EO_84,EO,0,2018-07-28,2018,209,35.83,upland,51.7,27.5
EO_85,EO,0,2018-07-29,2018,210,140.17,lowland,0,0.4
EO_87,EO,0,2018-07-29,2018,210,70.83,upland,51.7,22.1
EO_88,EO,0,2018-07-30,2018,211,467.5,upland,0,0
EO_89,EO,0,2018-08-01,2018,213,796.12,upland,10.5,0.2
EO_9,EO,0,2018-06-07,2018,158,86.88,upland,77.9,9.4
EO_90,EO,0,2018-08-01,2018,213,149.39,upland,83.3,28.6
EO_91,EO,0,2018-08-02,2018,214,542.68,upland,2,2.7
EO_92,EO,0,2018-08-02,2018,214,292.85,upland,95.5,33.6
EO_94,EO,0,2018-08-03,2018,215,13.33,upland,62.4,33.2
EO_95,EO,0,2018-08-04,2018,216,152.84,upland,0,0.2
EO_96,EO,0,2018-08-04,2018,216,198.26,upland,52.5,29.8
EO_98,EO,0,2018-08-07,2018,219,1481.72,upland,11.3,2.9
EO_99,EO,0,2018-08-08,2018,220,110.08,upland,68,22.1
WO_1,WO,1,2017-06-15,2017,166,4.43,upland,49.2,33.4
WO_10,WO,1,2017-06-22,2017,173,280.1,upland,4.3,2.5
WO_100,WO,1,2017-08-05,2017,217,44.83,lowland,68.9,19.8
WO_101,WO,1,2017-08-05,2017,217,65.67,upland,75.6,45
WO_102,WO,1,2017-08-06,2017,218,189.93,upland,44.3,11.6
WO_103,WO,1,2017-08-06,2017,218,3.76,upland,70.5,32.8
WO_104,WO,1,2017-08-06,2017,218,74.42,lowland,48.8,21.8
WO_105,WO,1,2017-08-06,2017,218,180.75,upland,60,30.2
WO_106,WO,1,2017-08-06,2017,218,53.54,lowland,78.5,23.3
WO_107,WO,1,2017-08-06,2017,218,265.51,upland,80.7,13.4
WO_108,WO,1,2017-08-07,2017,219,517.27,upland,10.5,5.7
WO_109,WO,1,2017-08-07,2017,219,108.42,upland,58.4,15.6
WO_11,WO,1,2017-06-23,2017,174,145.72,upland,4.4,1.9
WO_110,WO,1,2017-08-07,2017,219,26.19,lowland,80.1,45
WO_111,WO,1,2017-08-07,2017,219,35.69,upland,94.3,40.5
WO_112,WO,1,2017-08-08,2017,220,23.35,lowland,71.5,18.7
WO_113,WO,1,2017-08-08,2017,220,0.1,upland,61.8,26
WO_114,WO,1,2017-08-11,2017,223,87.01,upland,43.7,16.7
WO_115,WO,1,2017-08-11,2017,223,71.01,upland,50.9,14.9
WO_116,WO,1,2017-08-12,2017,224,586.34,upland,1.1,0.4
WO_117,WO,1,2017-08-12,2017,224,441.32,upland,0.4,0.3
WO_118,WO,1,2017-08-13,2017,225,514.59,upland,42.9,9.6
WO_119,WO,1,2017-08-14,2017,226,532.76,lowland,0,0.3
WO_12,WO,1,2017-06-23,2017,174,48.43,lowland,15.7,8.8
WO_120,WO,1,2017-08-15,2017,227,768.5,upland,0,0.3
WO_121,WO,1,2017-08-16,2017,228,202.27,upland,81.1,12.6
WO_122,WO,1,2017-08-16,2017,228,329.38,upland,73,15.5
WO_123,WO,1,2017-08-18,2017,230,389.17,lowland,0,0.2
WO_124,WO,1,2017-08-18,2017,230,380.42,upland,33.2,9.2
WO_125,WO,1,2017-08-18,2017,230,58.14,upland,50.6,9.7
WO_126,WO,1,2017-08-20,2017,232,467.3,upland,65.2,11.8
WO_127,WO,1,2017-08-21,2017,233,212.25,upland,68.7,24
WO_128,WO,1,2017-08-21,2017,233,1567.7,lowland,22.4,0
WO_129,WO,1,2017-08-21,2017,233,45.34,upland,75.6,17.9
WO_13,WO,1,2017-06-24,2017,175,233.29,upland,79.6,15.6
WO_130,WO,1,2017-08-25,2017,237,318.5,lowland,0,0
WO_132,WO,1,2017-08-26,2017,238,274.13,upland,81.8,30.6
WO_133,WO,1,2017-08-26,2017,238,122.52,upland,61.9,31.8
WO_134,WO,1,2017-08-26,2017,238,798.83,upland,12.3,1.9
WO_135,WO,1,2017-08-27,2017,239,582.01,upland,5.2,0.7
WO_136,WO,1,2017-08-27,2017,239,171.19,upland,88.3,23.5
WO_137,WO,1,2017-08-28,2017,240,149.31,upland,53.8,18.6
WO_138,WO,1,2017-08-30,2017,242,832.19,upland,0,0.4
WO_139,WO,1,2017-08-30,2017,242,544.38,upland,0,0.7
WO_14,WO,1,2017-06-24,2017,175,140.2,upland,58.8,15.6
WO_140,WO,1,2017-08-31,2017,243,59.83,lowland,49.7,23.3
WO_141,WO,1,2017-09-01,2017,244,363.09,lowland,5.6,2.1
WO_142,WO,1,2017-09-01,2017,244,224,upland,91.9,20.6
WO_143,WO,1,2017-09-02,2017,245,31.42,upland,69.2,29
WO_144,WO,1,2017-09-02,2017,245,75.94,upland,78.5,28.2
WO_145,WO,1,2017-09-02,2017,245,568.27,upland,0,0.2
WO_146,WO,1,2017-09-03,2017,246,58.93,upland,53.7,20.6
WO_147,WO,1,2017-09-04,2017,247,380.43,upland,61.2,13.2
WO_148,WO,1,2017-09-04,2017,247,242.51,upland,87.3,26
WO_149,WO,1,2017-09-05,2017,248,127.01,lowland,0,0
WO_150,WO,1,2017-09-06,2017,249,105.09,upland,61.6,21.2
WO_151,WO,1,2017-09-10,2017,253,82.27,upland,74.2,16.6
WO_152,WO,1,2017-09-10,2017,253,75.83,upland,75.5,36.1
WO_153,WO,1,2017-09-11,2017,254,15.21,lowland,35.7,15
WO_154,WO,1,2017-09-11,2017,254,78.91,upland,88.4,12.5
